country,happiness_score,gdp_per_capita,family,health,freedom,government_trust,generosity,dystopia_residual,continent,year,rank
Lebanon,4.77150011,0.88923252,1.19249332,0.78867114,0.18551667,0.15852414,0.02151815,1.53554225,Asia,2020,104
Burkina Faso,4.76870012,0.30246764,0.9293859,0.31283388,0.32239816,0.18639061,0.12640806,2.58882642,Africa,2020,105
Mali,4.72930002,0.35246265,0.97314173,0.23498152,0.37753445,0.16966705,0.06214628,2.55933523,Africa,2020,106
Nigeria,4.72410011,0.64590186,0.98671794,0.16783594,0.43507946,0.22132812,0.04758994,2.21963549,Africa,2020,107
Armenia,4.67679977,0.80826241,1.03457689,0.77585727,0.37807581,0.10722574,0.10461818,1.46816158,Asia,2020,108
Georgia,4.67259979,0.84719807,0.7311939,0.69465762,0.48549411,0.04760974,0.17408808,1.69239831,Asia,2020,109
Iran,4.6724,1.02932251,0.88627118,0.74905384,0.30119547,0.27697894,0.14265151,1.28696942,Asia,2020,110
Jordan,4.63339996,0.7851792,1.1401186,0.77762473,0.42485508,0.09149477,0.15187863,1.26225805,Asia,2020,111
Kenya,4.58300018,0.4764134,0.90507776,0.53631276,0.51918054,0.39390209,0.06720108,1.68490458,Africa,2020,112
Ukraine,4.56069994,0.78043461,1.32131648,0.69867438,0.31942371,0.17855132,0.00965116,1.25266933,Europe,2020,113
Liberia,4.55789995,0.17410301,0.92073393,0.39228427,0.4059431,0.22696787,0.05113988,2.38675785,Africa,2020,114
Palestinian Territories,4.55280018,0.58781922,1.19475555,0.61382657,0.29870075,0.09181626,0.07191365,1.6939857,Asia,2020,115
Uganda,4.43200016,0.31233743,1.05232739,0.37831166,0.40168256,0.26480737,0.06381884,1.95867109,Africa,2020,116
Chad,4.42269993,0.30228749,0.73911828,0.1087441,0.22860177,0.21080509,0.08575541,2.74742651,Africa,2020,117
Tunisia,4.39219999,0.87474269,0.87216771,0.78115672,0.23586056,0.05588114,0.04389957,1.52849674,Africa,2020,118
Mauritania,4.37459993,0.53968489,1.11332357,0.42518482,0.18571448,0.12889966,0.12225764,1.85955739,Africa,2020,119
Sri Lanka,4.32700014,0.89798695,1.19494009,0.79203671,0.52863246,0.25266615,0.04944456,0.61128855,Asia,2020,120
Congo (Kinshasa),4.31099987,0.06248747,0.83305502,0.27721205,0.36462298,0.25432488,0.08146665,2.4378643,Africa,2020,121
Myanmar,4.30800009,0.67809093,1.09817827,0.49544308,0.59747887,0.56981373,0.18753035,0.68146253,Asia,2020,122
Togo,4.18720007,0.26811627,0.54762286,0.34273118,0.30353904,0.20077425,0.11482646,2.40959525,Africa,2020,123
Ethiopia,4.18620014,0.31512564,1.00110328,0.48384625,0.41256687,0.2276981,0.11743704,1.62845922,Africa,2020,124
Madagascar,4.16559982,0.24455321,0.82369435,0.50061703,0.19296755,0.19119006,0.07624864,2.13629842,Africa,2020,125
Egypt,4.15140009,0.87522894,0.98253954,0.59691131,0.37368473,0.06880125,0.09546179,1.15881825,Africa,2020,126
Sierra Leone,3.92639995,0.24056038,0.74798495,0.20395397,0.38202769,0.25764701,0.04794094,2.0462718,Africa,2020,127
Burundi,3.77530003,0,0.40357527,0.29521284,0.27539906,0.18740179,0.21218683,2.40150738,Africa,2020,128
Zambia,3.75939989,0.53683376,0.89603728,0.36359334,0.49131754,0.2506209,0.08670524,1.13433933,Africa,2020,129
Haiti,3.72079992,0.28473443,0.64667136,0.37436673,0.16929752,0.46390966,0.16193567,1.61991692,South America,2020,130
India,3.57329989,0.73057616,0.64419866,0.54057014,0.58114225,0.23707248,0.10558798,0.73413086,Asia,2020,131
Malawi,3.53800011,0.17653473,0.53036809,0.4461633,0.48738983,0.21318506,0.13163395,1.55271828,Africa,2020,132
Yemen,3.52740002,0.39270178,1.17747712,0.41500017,0.24372149,0.09468901,0.08735213,1.11647272,Asia,2020,133
Botswana,3.47889996,0.997549,1.08569479,0.49410173,0.50908941,0.03340749,0.10178637,0.25724053,Africa,2020,134
Tanzania,3.4762001,0.45716313,0.87267464,0.44267786,0.50934309,0.27154091,0.20388086,0.71896339,Africa,2020,135
Rwanda,3.31229997,0.34324268,0.52287632,0.57238329,0.60408789,0.23570499,0.48554248,0.54844499,Africa,2020,136
Zimbabwe,3.29920006,0.42556402,1.04783523,0.37503761,0.37740472,0.15134919,0.08092858,0.84103108,Africa,2020,137
Afghanistan,2.56690002,0.30070585,0.35643384,0.26605153,0,0.13523471,0.00122579,1.50723565,Asia,2020,138
